number,name,address,bike_stands,available_bike_stands,last_update
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,11,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,4,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,5,1.49E+12
3,BOLTON STREET,Bolton Street,20,6,1.49E+12
3,BOLTON STREET,Bolton Street,20,6,1.49E+12
3,BOLTON STREET,Bolton Street,20,7,1.49E+12
3,BOLTON STREET,Bolton Street,20,7,1.49E+12
3,BOLTON STREET,Bolton Street,20,7,1.49E+12
3,BOLTON STREET,Bolton Street,20,8,1.49E+12
3,BOLTON STREET,Bolton Street,20,8,1.49E+12
3,BOLTON STREET,Bolton Street,20,8,1.49E+12
3,BOLTON STREET,Bolton Street,20,8,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,9,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,11,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,10,1.49E+12
3,BOLTON STREET,Bolton Street,20,11,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,12,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,13,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,16,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,14,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,15,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,20,1.49E+12
3,BOLTON STREET,Bolton Street,20,19,1.49E+12
3,BOLTON STREET,Bolton Street,20,18,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
3,BOLTON STREET,Bolton Street,20,17,1.49E+12
